Act_id,Focus area,associated Skill 1,associated Skill 2,associated skill 3,associated skill 4,1,2,3,4,5,6,7,8,9,10,11,12
271,None,Perspective,Love of Learning,Critical Thinking,None,None,None,None,None,None,None,Y,Y,Y,None,None,None
272,Logical and Lateral,Creativity,perspectives,Fun Science,Curiosity,None,None,None,None,None,Y,Y,Y,None,None,None,None
273,Leadership,Creativity,fun science,concentration,curiosity,None,None,None,None,None,None,Y,Y,None,None,None,None
274,Critical Thinking,Creativity,curiosity,Fun Science,None,None,None,None,None,None,None,Y,Y,None,None,None,None
275,Logical and Lateral,Love of Learning,perspectives,Fun Science,curiosity,None,None,None,None,None,None,Y,Y,None,None,None,None
276,Logical and Lateral,Love of Learning,observation skills,Fun Science,curiosity,None,None,None,None,None,None,Y,Y,Y,None,None,None
277,Critical Thinking,curiosity,perspective,Fun Science,None,None,None,None,None,None,None,Y,Y,Y,None,None,None
278,Conflict Resolution,creative,fun science,Critical Thinking,None,None,None,None,None,None,None,Y,Y,Y,None,None,None
279,Logical and Lateral,Fine Motor Skills,Concentration,patience,None,None,None,None,None,None,Y,Y,None,None,None,None,None
280,Logical and Lateral,Fine Motor Skills,Problem solving,innovation,Patience,None,None,None,None,None,None,Y,Y,None,None,None,None
281,Logical and Lateral,Fine Motor Skills,Critical Thinking,Creativity,patience,None,None,None,None,None,None,Y,Y,None,None,None,None
282,Logical and Lateral,concentration,Fine Motor Skills,patience,problem solving,None,None,None,None,None,Y,Y,Y,None,None,None,None
283,Critical Thinking,Time Management,Critical Thinking,Problem Solving,Logical Reasoning,None,None,None,None,None,None,Y,Y,None,None,None,None
284,Moral Values,Fine Motor Skills,Focus,Patience,Cognitive Development,None,None,None,None,None,None,Y,Y,None,None,None,None
285,Critical Thinking,Cognitive Development,Observation skills,None,None,None,None,None,None,None,None,Y,Y,None,None,None,None
286,Conflict Resolution,Concentration,Problem Solving,Persistence,Spatial Intelligence,None,None,None,None,None,None,None,Y,Y,Y,None,None
287,Logical and Lateral,Open Mindedness,Perspective,Curiosity,Love of Learning,None,None,None,None,None,None,None,Y,Y,Y,None,None
288,Logical and Lateral,creativity,curiosity,Critical Thinking,None,None,None,None,None,None,None,None,Y,Y,None,None,None
289,Integrity,Focus,Reflexes,Motor Skills,None,None,None,None,None,None,None,Y,Y,Y,None,None,None
290,Critical Thinking,Cognitive Development,Focus,Concentration,None,None,None,None,None,None,None,None,Y,Y,None,None,None
291,Critical Thinking,Fine motor skills,Cognitive Development,None,None,None,None,None,None,None,None,Y,Y,None,None,None,None
292,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
293,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
294,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
295,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
296,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
297,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
